model,feature,accuracy,precision,recall,f1,cohen_kappa,mcc,roc_auc,n_samples,n_missing
gpt-4o-mini,group<50,0.4,0.5714285714285714,0.6666666666666666,0.375,0.09090909090909083,0.21821789023599236,0.6666666666666667,10,0
gpt-4o-mini,g50-90,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
gpt-4o-mini,group>90%,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
gpt-4o-mini,Ocommuni,0.9,,,,0.0,,,10,0
gpt-4o-mini,Freq Pat,0.3,0.14285714285714285,0.21428571428571427,0.15306122448979592,0.17647058823529416,0.21179343552183938,,10,0
gpt-4o-mini,Freq Av,0.2,0.25,0.16666666666666666,0.19444444444444442,0.09090909090909083,0.11805626722019105,,10,0
gpt-4o-mini,Dancing,0.7,0.5952380952380952,0.625,0.6000000000000001,0.21052631578947367,0.2182178902359924,0.625,10,0
gpt-4o-mini,Singing,0.5,0.5,0.5,0.45054945054945056,0.0,0.0,0.5,10,0
gpt-4o-mini,Percuss,0.9,0.9444444444444444,0.75,0.803921568627451,0.6153846153846154,0.6666666666666666,0.75,10,0
gpt-4o-mini,Oinstrum,0.8,,,,0.0,,,10,0
gpt-4o-mini,Shouting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0
gpt-4o-mini,Processi,0.7,0.75,0.7857142857142857,0.696969696969697,0.44444444444444453,0.5345224838248488,0.7857142857142857,10,0
gpt-4o-mini,Bangs,0.8,0.6875,0.6875,0.6875,0.375,0.375,0.6875,10,0
gpt-4o-mini,Bowing,0.7,,,,0.0,,,10,0
gpt-4o-mini,Omov,0.8,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.11111111111111116,-0.1111111111111111,0.4444444444444444,10,0
gpt-4o-mini,HairCut,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Washing,0.9,,,,0.0,,,10,0
gpt-4o-mini,Rubbing,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Sprinkle,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Fumigate,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
gpt-4o-mini,NoHands,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Spitting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0
gpt-4o-mini,Opurify,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Hallucin,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Sedative,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Alcohol,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Epossess,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Tperform,0.9,,,,0.0,,,10,0
gpt-4o-mini,Lucid,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,MindCont,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Stimulat,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Smoking,0.8,0.4,0.5,0.4444444444444444,0.0,0.0,,10,0
gpt-4o-mini,oASC,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Burning,0.8,,,,0.0,,,10,0
